Smart Things, d0_52_a8_00_67_5e
Amazon Echo, 44_65_0d_56_cc_d3 
Netatmo Welcome, 70_ee_50_18_34_43
TP_Link Day Night Cloud camera, f4_f2_6d_93_51_f1
Samsung SmartCam, 00_16_6c_ab_6b_88
Dropcam, 30_8c_fb_2f_e4_b2
Insteon Camera, 00_62_6e_51_27_2e
Ligma, e8_ab_fa_19_de_4f 
Withings Smart Baby Monitor, 00_24_e4_11_18_a8
Belkin Wemo switch, ec_1a_59_79_f4_89
TP_Link Smart plug, 50_c7_bf_00_56_39 
iHome, 74_c6_3b_29_d7_1d
Belkin wemo motion sensor, ec_1a_59_83_28_11
NEST Protect smoke alarm, 18_b4_30_25_be_e4	
Netatmo weather station, 70_ee_50_03_b8_ac
Withings Smart scale, 00_24_e4_1b_6f_96
Blipcare Blood Pressure meter, 74_6a_89_00_2e_25
Withings Aura smart sleep sensor, 00_24_e4_20_28_c6
Light Bulbs LiFX Smart Bulb, d0_73_d5_01_83_08
Triby Speaker, 18_b7_9e_02_20_44
PIX-STAR Photo_frame, e0_76_d0_33_bb_85
HP Printer, 70_5a_0f_e4_9b_c0
Samsung Galaxy Tab, 08_21_ef_3b_fc_e3
Nest Dropcam, 30_8c_fb_b6_ea_45
Android Phone, 40_f3_08_ff_1e_da
Laptop, 74_2f_68_81_69_42
MacBook, ac_bc_32_d4_6f_2f
Android Phone, b4_ce_f6_a7_a3_c2
IPhone, d0_a6_37_df_a1_e1
MacBook/Iphone, f4_5c_89_93_cc_85
TPLink Router Bridge LAN (Gateway),	14_cc_20_51_33_ea